Years,Quarter,Date,Revenue ,Cost_Of_Revenue,Marketing_Expenditure,Technology_And_Development_Cost,General_And_Administrative_Expenses,Net_Income_After_Taxes
2022,Q1,2022-03-31,7867767,4284705,555978,657530,397928,1597447
2022,Q2,2022-06-30,7970141,4690755,574960,716846,409297,1440951
2022,Q3,2022-09-30,7925589,4788665,567954,662739,373213,1398242
2022,Q4,2022-12-31,7852053,5404160,831610,673926,392453,55284
2021,Q1,2021-03-31,7163282,3868511,512512,525207,297196,1706715
2021,Q2,2021-06-30,7341777,4018008,603973,537321,334845,1353013
2021,Q3,2021-09-30,7483467,4206589,635948,563887,321790,1449071
2021,Q4,2021-12-31,7709318,5239575,792713,647470,397790,607429
2020,Q1,2020-03-31,5767691,3599701,503830,453817,252087,709067
2020,Q2,2020-06-30,6148286,3643707,434370,435045,277236,720196
2020,Q3,2020-09-30,6435637,3867751,527597,453802,271624,789976
2020,Q4,2020-12-31,6644442,4165160,762565,486936,275539,542156
2019,Q1,2019-03-31,4520992,2870614,616578,372764,201952,344052
2019,Q2,2019-06-30,4923116,3005657,603150,383233,224657,270650
2019,Q3,2019-09-30,5244905,3097919,553797,379776,233174,665244
2019,Q4,2019-12-31,5467434,3466023,878937,409376,254586,586970
2018,Q1,2018-03-31,3700856,2300579,536777,282310,134612,290124
2018,Q2,2018-06-30,3907270,2402431,592007,299095,151524,384349
2018,Q3,2018-09-30,3999374,2531128,510330,308620,168628,402835
2018,Q4,2018-12-31,4186841,2733400,730355,331789,175530,133934
